"34","thedaksn     ","thedaksn     ","pat_e       ","pat_e       ","1391","1367","1-0","50","   ","","2019.05.14","0","Chess.com","chess_com_games_1.pgn"
"35","mpauljtx123  ","mpauljtx123  ","pat_e       ","pat_e       ","1322","1374","0-1","20","   ","","2019.05.15","0","Chess.com","chess_com_games_1.pgn"
"36","pat_e        ","pat_e        ","mcole23     ","mcole23     ","1380","1284","1-0","25","   ","","2019.05.15","0","Chess.com","chess_com_games_1.pgn"
"37","mustafa1959qa","mustafa1959qa","pat_e       ","pat_e       ","1457","1372","1-0","20","   ","","2019.06.21","0","Chess.com","chess_com_games_1.pgn"
"38","gzuskid      ","gzuskid      ","pat_e       ","pat_e       ","1325","1381","0-1","22","   ","","2019.06.28","0","Chess.com","chess_com_games_1.pgn"
"39","pat_e        ","pat_e        ","eljefearturo","eljefearturo","1375","1564","0-1","37","   ","","2019.06.28","0","Chess.com","chess_com_games_1.pgn"
"40","pat_e        ","pat_e        ","edgarrada   ","edgarrada   ","1363","1323","0-1","10","   ","","2019.07.03","0","Chess.com","chess_com_games_1.pgn"
"41","pat_e        ","pat_e        ","vilmosherceg","vilmosherceg","1353","1394","0-1","31","   ","","2019.07.06","0","Chess.com","chess_com_games_1.pgn"
"42","pat_e        ","pat_e        ","nokrogi     ","nokrogi     ","1366","1422","1-0","13","   ","","2019.07.07","0","Chess.com","chess_com_games_1.pgn"
"43","Dr_Happy     ","Dr_Happy     ","pat_e       ","pat_e       ","1227","1372","0-1","48","   ","","2019.07.07","0","Chess.com","chess_com_games_1.pgn"
"44","pat_e        ","pat_e        ","DqmnMTP     ","DqmnMTP     ","1379","1261","1-0","13","   ","","2019.07.07","0","Chess.com","chess_com_games_1.pgn"
"45","aabhashkoiral","aabhashkoiral","pat_e       ","pat_e       ","1329","1378","=-=","28","   ","","2019.07.08","0","Chess.com","chess_com_games_1.pgn"
"46","silvanobarald","silvanobarald","pat_e       ","pat_e       ","1422","1390","0-1","40","   ","","2019.07.19","0","Chess.com","chess_com_games_1.pgn"
"47","pat_e        ","pat_e        ","Miggyuuu    ","Miggyuuu    ","1381","1440","0-1","28","   ","","2019.07.19","0","Chess.com","chess_com_games_1.pgn"
"48","sarueabusado ","sarueabusado ","pat_e       ","pat_e       ","1394","1371","1-0","37","   ","","2019.07.19","0","Chess.com","chess_com_games_1.pgn"
"49","DHA168       ","DHA168       ","pat_e       ","pat_e       ","1406","1382","0-1","71","   ","","2019.07.20","0","Chess.com","chess_com_games_1.pgn"
"50","lutzj        ","lutzj        ","pat_e       ","pat_e       ","1278","1389","0-1","31","   ","","2019.07.20","0","Chess.com","chess_com_games_1.pgn"
